EPD Stratiplots
Sat Apr 20 19:05:27 2019
Doing 1735 of 2570 - LAUSTER 
Doing 1736 of 2570 - MUHLAKER 
Doing 1737 of 2570 - STUTGAUB 
Doing 1738 of 2570 - WINZELN 
Doing 1739 of 2570 - PFEFERBI 
Doing 1740 of 2570 - LAB2-94 
Doing 1741 of 2570 - LAB12-95 
Doing 1742 of 2570 - LAB29564 
Doing 1743 of 2570 - LAB3-95 
Doing 1744 of 2570 - LAB13-95 
Doing 1745 of 2570 - LAB2-95 
Doing 1746 of 2570 - LAO13-94 
Doing 1747 of 2570 - LAO14-94 
Doing 1748 of 2570 - LAO22-95 
Doing 1749 of 2570 - LAO25-95 
Doing 1750 of 2570 - LAO6-95 
Doing 1751 of 2570 - LYADHEJ 
Doing 1752 of 2570 - GS05 
Doing 1753 of 2570 - M1-2 
Doing 1754 of 2570 - MKH-K1 
Doing 1755 of 2570 - MKH-HB2 
Doing 1756 of 2570 - MKH-KB1 
Doing 1757 of 2570 - MKH-KB2 
Doing 1758 of 2570 - MKH-KB3 
Doing 1759 of 2570 - MKH-KB4 
Doing 1760 of 2570 - MKH-KB5 
Doing 1761 of 2570 - MKH-KB6 
Doing 1762 of 2570 - MKH-KB7 
Doing 1763 of 2570 - MKH-KB8 
Doing 1764 of 2570 - MKH-KB9 
Doing 1765 of 2570 - MKH-PO3 
Doing 1766 of 2570 - MKH1-1 
Doing 1767 of 2570 - MKH1-2 
Doing 1768 of 2570 - MKH1-6 
Doing 1769 of 2570 - MKH1-72 
Doing 1770 of 2570 - MKH3 
Doing 1771 of 2570 - MKH4-12 
Doing 1772 of 2570 - MKH4-3 
Doing 1773 of 2570 - MKH4-6 
Doing 1774 of 2570 - MKH6-1 
Doing 1775 of 2570 - MKH6-2 
Doing 1776 of 2570 - MKH6-3 
Doing 1777 of 2570 - MKH99 
Doing 1778 of 2570 - UGINOR1 
Doing 1779 of 2570 - LS1960 
Doing 1780 of 2570 - L1960A 
Doing 1781 of 2570 - LS1961 
Doing 1782 of 2570 - MARCHWAL 
Doing 1783 of 2570 - MAUJAHN1 
Doing 1784 of 2570 - MAUJAHN2 
Doing 1785 of 2570 - MAUJAHN3 
Doing 1786 of 2570 - MAUJAHN4 
Doing 1787 of 2570 - ELGENNYA 
Doing 1788 of 2570 - GEK 
Doing 1789 of 2570 - GYTGYKAI 
Doing 1790 of 2570 - MAMONKLY 
Doing 1791 of 2570 - WO1 
Doing 1792 of 2570 - PODKOVA 
Doing 1793 of 2570 - NIENHOFE 
Doing 1794 of 2570 - EK4 
Doing 1795 of 2570 - NIKOLAY 
Doing 1796 of 2570 - FIGURNOY 
Doing 1797 of 2570 - NMS0 
Doing 1798 of 2570 - OLDCAMP 
Doing 1799 of 2570 - OSTERHOL 
Doing 1800 of 2570 - PALATKA 
Doing 1801 of 2570 - OTOSTRAS 
Doing 1802 of 2570 - PRIYAT 
Doing 1803 of 2570 - ROXHEIME 
Doing 1804 of 2570 - ADYCHA 
Doing 1805 of 2570 - FLAFATTJ 
Doing 1806 of 2570 - ALAZE 
Doing 1807 of 2570 - SAO1HAHN 
Doing 1808 of 2570 - SAO1SHIL 
Doing 1809 of 2570 - SAO4 
Doing 1810 of 2570 - ARAKAM 
Doing 1811 of 2570 - BER1IND 
Doing 1812 of 2570 - BER2IND 
Doing 1813 of 2570 - SIEMEN1 
Doing 1814 of 2570 - SIEMEN2 
Doing 1815 of 2570 - BETENK 
Doing 1816 of 2570 - TELETSKO 
Doing 1817 of 2570 - BLOSSOM 
Doing 1818 of 2570 - WALENSEN 
Doing 1819 of 2570 - BLUD 
Doing 1820 of 2570 - WURZACHE 
Doing 1821 of 2570 - BUGUTAK 
Doing 1822 of 2570 - ZEIFENP1 
Doing 1823 of 2570 - BYLLAT 
Doing 1824 of 2570 - ZEIFENP2 
Doing 1825 of 2570 - CAMPING 
Doing 1826 of 2570 - ZEIFENP3 
Doing 1827 of 2570 - CHANNEL 
Doing 1828 of 2570 - CULAZON 
Doing 1829 of 2570 - CHANY 
Doing 1830 of 2570 - BIB00 
Doing 1831 of 2570 - CHESNOK 
Doing 1832 of 2570 - BUA1 
Doing 1833 of 2570 - CHULYM 
Doing 1834 of 2570 - PEUPLERA 
Doing 1835 of 2570 - CERINTB3 
Doing 1836 of 2570 - DEMYAN 
Doing 1837 of 2570 - MONROUX1 
Doing 1838 of 2570 - DOE 
Doing 1839 of 2570 - MTRO2540 
Doing 1840 of 2570 - DIMA 
Doing 1841 of 2570 - MTROP405 
