"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth"
1104,"HILAIRE2",927,"Saint Hilaire du Rosier",5.256667,45.070833,190,"FRA","France",55,2,1,2,NA,NA
1105,"HINTERB",928,"Hinterburgseeli",8.068889,46.718889,1519,"CHE","Switzerland",100,8,2,2,0,1523
1106,"ILFUORN",929,"Il Fuorn",10.21,46.662778,1805,"CHE","Switzerland",23,3,1,1,NA,NA
1107,"STRALDZA",930,"Straldzha mire",26.772778,42.630833,137,"BGR","Bulgaria",28,3,2,2,NA,NA
1108,"LACDAI",931,"Lac d'Aï",7.005,46.363889,1894,"CHE","Switzerland",9,0,1,2,0,17
1109,"LAINAIR",932,"Lai Nair Schuls-Tarasp",10.277778,46.776111,1551,"CHE","Switzerland",78,5,2,2,0,650
1110,"LEYSIN",933,"Leysin Les Léchières",7.021667,46.347222,1265,"CHE","Switzerland",44,0,2,2,165,370
1111,"LINDEN",934,"Linden",7.686111,46.850833,900,"CHE","Switzerland",130,12,2,2,0,1300
1112,"LL160A",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",128,19,1,1,NA,NA
1113,"LQ120",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",165,0,1,1,NA,NA
1114,"LQ150E",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",71,14,1,1,NA,NA
1115,"LQ170",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",117,0,NA,NA,NA,NA
1116,"LQ170D",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",63,19,1,1,NA,NA
1117,"LQ68",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",94,0,NA,NA,NA,NA
1118,"LQ80",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",66,1,1,1,NA,NA
1119,"LQ82",332,"Lobsigensee",7.298056,47.030556,514,"CHE","Switzerland",52,0,NA,NA,NA,NA
1120,"JUFPLAN",935,"Juf Plan",10.259722,46.626389,2222,"CHE","Switzerland",15,2,2,2,0,67
