"ent","sigle","siteID","siteName","lon","lat","elev","poldiv1","region","nsample","ndate","clammodel","use","upperdepth","lowerdepth","optional"
1387,"ARINTHOD",1111,"Tourbière d'Arinthod",5.562778,46.396389,424,"FRA","France",144,0,NA,NA,NA,NA,TRUE
1392,"RING",1116,"Ringinglow Bog",-1.601389,53.344722,410,"GBR","United Kingdom",48,0,NA,NA,NA,NA,TRUE
1393,"SITCH",1117,"Salter Sitch",-1.568611,53.301667,365,"GBR","United Kingdom",48,0,NA,NA,NA,NA,TRUE
1507,"MARINET1",1205,"Marinet",6.861944,44.563056,2532,"FRA","France",24,0,NA,NA,NA,NA,TRUE
1508,"GAI1",1206,"Gaienhofen",8.975833,47.679444,408,"DEU","Germany",63,2,NA,NA,NA,NA,TRUE
1509,"UDOLI",1207,"Anenské údolí",16.1175,50.588611,696,"CZE","Czech Republic",26,4,NA,NA,NA,NA,TRUE
1510,"KR5A",1208,"Tpské raseliniste Mire",15.7125,50.738889,1425,"CZE","Czech Republic",30,3,NA,NA,NA,NA,TRUE
1511,"KR5C",1208,"Tpské raseliniste Mire",15.7125,50.738889,1425,"CZE","Czech Republic",34,2,NA,NA,NA,NA,TRUE
1512,"BRENTENL",1209,"Brentenlohe",12.4625,49.787222,745,"DEU","Germany",32,3,NA,NA,NA,NA,TRUE
1513,"BROUMOVS",1210,"Broumovské steny",16.2825,50.555833,654,"CZE","Czech Republic",9,0,NA,NA,NA,NA,TRUE
1514,"BREZOVA",1211,"Brezová",16.2275,50.606389,464,"CZE","Czech Republic",21,0,NA,NA,NA,NA,TRUE
1515,"BROUMOV2",1210,"Broumovské steny",16.2825,50.555833,654,"CZE","Czech Republic",11,0,NA,NA,NA,NA,TRUE
1516,"KR1A",1212,"Cerná Hora",15.755833,50.660556,1206,"CZE","Czech Republic",14,4,NA,NA,NA,NA,TRUE
1517,"CV23A",1213,"Doupe",15.424444,49.234167,593,"CZE","Czech Republic",31,0,NA,NA,NA,NA,TRUE
1518,"HERMANKO",1214,"Hermánkovice",16.324444,50.617778,440,"CZE","Czech Republic",7,0,NA,NA,NA,NA,TRUE
1519,"CV3A",1215,"Hojkov",15.416111,49.388611,638,"CZE","Czech Republic",37,0,NA,NA,NA,NA,TRUE
1520,"TEPLICE",1216,"Teplice nad Metují",16.173611,50.618889,466,"CZE","Czech Republic",22,0,NA,NA,NA,NA,TRUE
1521,"ROCKLIN2",1217,"Rockliny",16.111667,50.594167,686,"CZE","Czech Republic",7,0,NA,NA,NA,NA,TRUE
1522,"STOVANHS",1218,"Stonava",18.543333,49.815833,263,"CZE","Czech Republic",6,0,NA,NA,NA,NA,TRUE
1523,"KR2A",1208,"Tpské raseliniste Mire",15.7125,50.738889,1425,"CZE","Czech Republic",8,4,NA,NA,NA,NA,TRUE
1524,"KR2B",1208,"Tpské raseliniste Mire",15.7125,50.738889,1425,"CZE","Czech Republic",8,4,NA,NA,NA,NA,TRUE
1525,"KR2C",1208,"Tpské raseliniste Mire",15.7125,50.738889,1425,"CZE","Czech Republic",31,1,NA,NA,NA,NA,TRUE
1526,"PS4A",1219,"Vacovice",13.790278,49.140556,718,"CZE","Czech Republic",14,0,NA,NA,NA,NA,TRUE
1527,"SA5A",1220,"Velká niva",13.818611,48.924167,765,"CZE","Czech Republic",32,0,NA,NA,NA,NA,TRUE
1528,"SA8A",1220,"Velká niva",13.818611,48.924167,765,"CZE","Czech Republic",50,2,NA,NA,NA,NA,TRUE
1529,"CV4A",1221,"Horní Pole",15.314722,49.213056,691,"CZE","Czech Republic",35,0,NA,NA,NA,NA,TRUE
1530,"HRABANOS",1222,"Hrabanoská cernava",14.831667,50.216389,184,"CZE","Czech Republic",71,4,NA,NA,NA,NA,TRUE
1531,"HYNCICE",1223,"Hyncice",16.2925,50.622222,419,"CZE","Czech Republic",11,0,NA,NA,NA,NA,TRUE
1532,"MB2A",1224,"Jancík",18.550833,49.4925,780,"SVK","Slovakia",17,0,NA,NA,NA,NA,TRUE
1533,"MB3A",1224,"Jancík",18.550833,49.4925,780,"SVK","Slovakia",12,0,NA,NA,NA,NA,TRUE
1534,"SA12A",1225,"Knízecí pláne",13.635278,48.964722,998,"CZE","Czech Republic",40,1,NA,NA,NA,NA,TRUE
1535,"KRINICE",1226,"Krinice",16.309167,50.569722,390,"CZE","Czech Republic",21,0,NA,NA,NA,NA,TRUE
1536,"OH1A",1227,"Kunstátská",16.45,50.25,1005,"CZE","Czech Republic",18,0,NA,NA,NA,NA,TRUE
